Category: All categories

Week,butter yellow: (United States)
2024-11-03,17
2024-11-10,17
2024-11-17,22
2024-11-24,27
2024-12-01,18
2024-12-08,20
2024-12-15,19
2024-12-22,23
2024-12-29,21
2025-01-05,23
2025-01-12,21
2025-01-19,25
2025-01-26,22
2025-02-02,25
2025-02-09,30
2025-02-16,31
2025-02-23,36
2025-03-02,50
2025-03-09,50
2025-03-16,54
2025-03-23,65
2025-03-30,68
2025-04-06,77
2025-04-13,82
2025-04-20,92
2025-04-27,93
2025-05-04,93
2025-05-11,90
2025-05-18,91
2025-05-25,96
2025-06-01,100
2025-06-08,94
2025-06-15,96
2025-06-22,98
2025-06-29,87
2025-07-06,95
2025-07-13,97
2025-07-20,95
2025-07-27,91
2025-08-03,93
2025-08-10,80
2025-08-17,77
2025-08-24,65
2025-08-31,62
2025-09-07,49
2025-09-14,57
2025-09-21,55
2025-09-28,47
2025-10-05,44
2025-10-12,50
2025-10-19,47
2025-10-26,41
2025-11-02,40
