Category: All categories

Week,dill yellow: (United States)
2024-11-03,0
2024-11-10,0
2024-11-17,0
2024-11-24,0
2024-12-01,0
2024-12-08,0
2024-12-15,0
2024-12-22,0
2024-12-29,0
2025-01-05,0
2025-01-12,31
2025-01-19,0
2025-01-26,0
2025-02-02,50
2025-02-09,0
2025-02-16,0
2025-02-23,0
2025-03-02,31
2025-03-09,0
2025-03-16,0
2025-03-23,36
2025-03-30,26
2025-04-06,0
2025-04-13,0
2025-04-20,31
2025-04-27,25
2025-05-04,34
2025-05-11,27
2025-05-18,67
2025-05-25,38
2025-06-01,52
2025-06-08,45
2025-06-15,62
2025-06-22,68
2025-06-29,68
2025-07-06,77
2025-07-13,54
2025-07-20,100
2025-07-27,76
2025-08-03,44
2025-08-10,26
2025-08-17,38
2025-08-24,0
2025-08-31,41
2025-09-07,36
2025-09-14,0
2025-09-21,25
2025-09-28,32
2025-10-05,0
2025-10-12,29
2025-10-19,3
2025-10-26,16
2025-11-02,13
